open_time,open,high,low,close,volume,close_time
1579032000000,8765.51000000,8880.00000000,8666.22000000,8810.01000000,10862.78141800,1579046399999
1579046400000,8814.64000000,8900.00000000,8701.00000000,8727.61000000,17630.43469000,1579060799999
1579060800000,8727.00000000,8741.75000000,8564.00000000,8627.13000000,12394.59959700,1579075199999
1579075200000,8626.80000000,8810.00000000,8605.03000000,8730.00000000,11514.93662600,1579089599999
1579089600000,8730.00000000,8916.48000000,8720.38000000,8762.74000000,18787.51924800,1579103999999
1579104000000,8762.73000000,8820.00000000,8676.08000000,8761.57000000,11713.45638500,1579118399999
1579118400000,8761.57000000,8876.40000000,8738.37000000,8821.41000000,12775.35106000,1579132799999
1579132800000,8820.01000000,8859.81000000,8586.00000000,8640.01000000,12783.45867500,1579147199999
1579147200000,8640.01000000,8730.00000000,8615.00000000,8680.00000000,7142.49557500,1579161599999
1579161600000,8679.99000000,8725.00000000,8600.40000000,8724.91000000,9781.35347900,1579175999999
1579176000000,8724.82000000,8789.00000000,8640.35000000,8710.02000000,8891.03574400,1579190399999
1579190400000,8710.01000000,8720.82000000,8626.00000000,8705.00000000,7069.06875800,1579204799999
1579204800000,8705.01000000,8757.00000000,8672.00000000,8720.01000000,6323.66205300,1579219199999
1579219200000,8720.15000000,8840.40000000,8672.44000000,8786.43000000,8331.74324800,1579233599999
1579233600000,8786.43000000,8997.00000000,8760.00000000,8933.95000000,17583.95761400,1579247999999
1579248000000,8935.54000000,9041.65000000,8880.50000000,8903.45000000,15958.17414200,1579262399999
1579262400000,8903.53000000,8919.41000000,8765.00000000,8850.83000000,11602.98440300,1579276799999
1579276800000,8851.39000000,8955.55000000,8813.00000000,8879.71000000,10924.96600000,1579291199999
1579291200000,8879.63000000,8961.60000000,8861.66000000,8913.28000000,6495.91197000,1579305599999
1579305600000,8913.27000000,8988.88000000,8855.55000000,8925.99000000,6811.01530300,1579319999999
1579320000000,8926.07000000,8926.95000000,8806.38000000,8843.63000000,7327.35257200,1579334399999
1579334400000,8843.63000000,8919.00000000,8818.00000000,8879.79000000,5142.09983800,1579348799999
1579348800000,8879.29000000,8964.00000000,8869.98000000,8903.26000000,8996.26140900,1579363199999
1579363200000,8903.27000000,8935.17000000,8848.80000000,8907.93000000,5689.85134300,1579377599999
1579377600000,8907.79000000,8960.00000000,8889.00000000,8915.96000000,4328.16608000,1579391999999
1579392000000,8915.09000000,9198.98000000,8888.02000000,9157.61000000,15190.42298800,1579406399999
1579406400000,9157.74000000,9165.00000000,9041.00000000,9084.36000000,7138.45343000,1579420799999
1579420800000,9083.80000000,9127.36000000,8524.20000000,8681.44000000,20326.67229500,1579435199999
1579435200000,8681.16000000,8684.76000000,8559.02000000,8631.95000000,10631.57741800,1579449599999
1579449600000,8630.98000000,8676.05000000,8610.00000000,8645.57000000,4773.14966000,1579463999999
